"","CoxPH","CoxLasso","SRF","p","mech","n","impute_name"
"CC8",0.659419217977862,0.662917707941205,0.742947715335775,0,"MCAR",9,"CC"
"Mean8",0.659419217977862,0.662917707941205,0.747114561741829,0,"MCAR",9,"Mean"
"MICE8",0.659419217977862,0.662917707941205,0.743965294018821,0,"MCAR",9,"MICE"
"mForest8",0.659419217977862,0.662917707941205,0.746643896092234,0,"MCAR",9,"mForest"
"CC9",0.66612482314649,0.663422701449381,0.749238300718735,0,"MCAR",10,"CC"
"Mean9",0.66612482314649,0.663422701449381,0.747774666078835,0,"MCAR",10,"Mean"
"MICE9",0.66612482314649,0.663422701449381,0.747562808310291,0,"MCAR",10,"MICE"
"mForest9",0.66612482314649,0.663422701449381,0.751301016004125,0,"MCAR",10,"mForest"
"CC10",0.659104056845833,0.60502867948286,0.743304889345498,0.2,"MCAR",1,"CC"
"Mean10",0.66671679998373,0.605627592709534,0.73065901543801,0.2,"MCAR",1,"Mean"
"MICE10",0.664351071318444,0.661457881510713,0.729916656387991,0.2,"MCAR",1,"MICE"
"mForest10",0.666459809849384,0.606164971175955,0.73290962072462,0.2,"MCAR",1,"mForest"
"CC11",0.679485840190542,0.672177519665334,0.744881910924416,0.2,"MCAR",2,"CC"
"Mean11",0.675497104103978,0.662851634582997,0.742884420404606,0.2,"MCAR",2,"Mean"
"MICE11",0.672389427979381,0.660922939498313,0.741981650364383,0.2,"MCAR",2,"MICE"
"mForest11",0.673610022294903,0.608560874963994,0.744341223133365,0.2,"MCAR",2,"mForest"
"CC12",0.652825110419878,0.667208092017395,0.7336908369075,0.2,"MCAR",3,"CC"
"Mean12",0.656205205933668,0.660656451631956,0.747868409810474,0.2,"MCAR",3,"Mean"
"MICE12",0.660116178087069,0.661253602924343,0.743347331883924,0.2,"MCAR",3,"MICE"
"mForest12",0.65310610314629,0.660804415766148,0.744972742641114,0.2,"MCAR",3,"mForest"
"CC13",0.676149669846308,0.603733053778081,0.75189631001308,0.2,"MCAR",4,"CC"
"Mean13",0.661137866460548,0.656212559293822,0.741691393095167,0.2,"MCAR",4,"Mean"
"MICE13",0.66686916801811,0.659796167499183,0.734480298714968,0.2,"MCAR",4,"MICE"
"mForest13",0.661093568148377,0.657245075050309,0.737530496757508,0.2,"MCAR",4,"mForest"
"CC14",0.67634576142462,0.667591831628558,0.750967797520089,0.2,"MCAR",5,"CC"
"Mean14",0.664341697228486,0.653567643834763,0.725894989304957,0.2,"MCAR",5,"Mean"
"MICE14",0.660523479079025,0.649826555935026,0.72115873268943,0.2,"MCAR",5,"MICE"
"mForest14",0.660289127416243,0.651719835828238,0.726807625919398,0.2,"MCAR",5,"mForest"
"CC15",0.678582393755643,0.601158436478304,0.747365645947644,0.2,"MCAR",6,"CC"
"Mean15",0.6673983556038,0.65684084835849,0.743022335818645,0.2,"MCAR",6,"Mean"
"MICE15",0.666259909905502,0.65791707775135,0.742197368204929,0.2,"MCAR",6,"MICE"
"mForest15",0.665703266640393,0.601077402871847,0.741795201653644,0.2,"MCAR",6,"mForest"
"CC16",0.678519862160238,0.604587385558766,0.754794516657688,0.2,"MCAR",7,"CC"
"Mean16",0.660729489603936,0.613516666977481,0.742238725349118,0.2,"MCAR",7,"Mean"
"MICE16",0.657385252696505,0.59589301811238,0.735216147300294,0.2,"MCAR",7,"MICE"
"mForest16",0.659823327504884,0.598109624710845,0.738269299176031,0.2,"MCAR",7,"mForest"
"CC17",0.642479112801617,0.532102510976271,0.725880398145919,0.2,"MCAR",8,"CC"
"Mean17",0.663538506081325,0.658918796026655,0.741225468149359,0.2,"MCAR",8,"Mean"
"MICE17",0.655018566327258,0.598811338201423,0.735190585284095,0.2,"MCAR",8,"MICE"
"mForest17",0.660847331147415,0.658614470988671,0.742706239197563,0.2,"MCAR",8,"mForest"
"CC18",0.679831073671424,0.673075570624373,0.727260152275334,0.2,"MCAR",9,"CC"
"Mean18",0.673677892415628,0.66047207085628,0.719815243462627,0.2,"MCAR",9,"Mean"
"MICE18",0.660140130555065,0.650256231201627,0.714947578734117,0.2,"MCAR",9,"MICE"
"mForest18",0.674143540506627,0.663087921811915,0.725970402492288,0.2,"MCAR",9,"mForest"
"CC19",0.662769134050814,0.601483514977245,0.738078970065013,0.2,"MCAR",10,"CC"
