"","mech","impute_name","model","p","Cindex","sd","min","max"
"67","MCAR","MICE","CoxPH",0.4,0.64277985936891,0.0106718138717647,0.624813340002235,0.658983747702441
"68","MCAR","MICE","CoxPH",0.6,0.636041145806205,0.0130911569953853,0.614577558216308,0.653089986930289
"69","MCAR","MICE","SRF",0,0.743697055668412,0.00622243959716834,0.733180907331508,0.756880644716535
"70","MCAR","MICE","SRF",0.2,0.733323478812084,0.00920163444445669,0.714947578734117,0.743347331883924
"71","MCAR","MICE","SRF",0.4,0.715051635266219,0.0118345735446584,0.698880322326447,0.729804622923537
"72","MCAR","MICE","SRF",0.6,0.706299398878118,0.0136695906728093,0.685703634512577,0.725644158109083
"73","MCAR","Mean","CoxLasso",0,0.656500065807808,0.01935635517817,0.601560771719172,0.665175253976336
"74","MCAR","Mean","CoxLasso",0.2,0.648897129451809,0.0209763639482757,0.605627592709534,0.662851634582997
"75","MCAR","Mean","CoxLasso",0.4,0.60233096725847,0.0319545860967192,0.57131113702521,0.654430433206932
"76","MCAR","Mean","CoxLasso",0.6,0.608378347192513,0.0291158187413814,0.579977082042883,0.653020634395418
"77","MCAR","Mean","CoxPH",0,0.66625411004499,0.00390953054938134,0.659419217977862,0.670475123597252
"78","MCAR","Mean","CoxPH",0.2,0.665254519170624,0.00586420459545013,0.656205205933668,0.675497104103978
"79","MCAR","Mean","CoxPH",0.4,0.654219799563217,0.0101984602988925,0.638706331631771,0.668234647353594
"80","MCAR","Mean","CoxPH",0.6,0.644852618110247,0.0145586372556127,0.614137007725402,0.661118496264006
"81","MCAR","Mean","SRF",0,0.743583423738695,0.00597779916920597,0.734489229216115,0.755820594133093
"82","MCAR","Mean","SRF",0.2,0.737407533210364,0.00892351095890671,0.719815243462627,0.747868409810474
"83","MCAR","Mean","SRF",0.4,0.725587605174504,0.011009165985054,0.707205700362698,0.738885031306137
"84","MCAR","Mean","SRF",0.6,0.713343996147024,0.00841085578742361,0.701382028600617,0.724839021224038
"85","MCAR","mForest","CoxLasso",0,0.632826890947973,0.0311609898864673,0.5984011579501,0.663422701449381
"86","MCAR","mForest","CoxLasso",0.2,0.636579114357606,0.0287702085997927,0.598109624710845,0.663087921811915
"87","MCAR","mForest","CoxLasso",0.4,0.598767812551442,0.0387854428819758,0.530638176923977,0.654138912081543
"88","MCAR","mForest","CoxLasso",0.6,0.603583513532199,0.0385533355802298,0.530564829457818,0.649029236176313
"89","MCAR","mForest","CoxPH",0,0.66625411004499,0.00390953054938134,0.659419217977862,0.670475123597252
"90","MCAR","mForest","CoxPH",0.2,0.664025030893479,0.00644504165498282,0.65310610314629,0.674143540506627
"91","MCAR","mForest","CoxPH",0.4,0.653769199366204,0.00940150483454947,0.638941090798036,0.664535858835347
"92","MCAR","mForest","CoxPH",0.6,0.640913195207686,0.013544750075858,0.613921956069852,0.657417508896616
"93","MCAR","mForest","SRF",0,0.743225748969181,0.00706696460528088,0.733497610889207,0.757154769622446
"94","MCAR","mForest","SRF",0.2,0.737149664715893,0.00681175077741666,0.725970402492288,0.744972742641114
"95","MCAR","mForest","SRF",0.4,0.72126735544458,0.01076887928422,0.704132111183065,0.740500768564943
"96","MCAR","mForest","SRF",0.6,0.709489654827049,0.00887367286287328,0.692228149335535,0.722278120250853
"97","MNAR","CC","CoxLasso",0,0.647723144540569,0.0290773449623519,0.588450640781642,0.662286255503399
"98","MNAR","CC","CoxLasso",0.2,0.624440192530779,0.0440317729071103,0.55726197044939,0.677549963097675
"99","MNAR","CC","CoxLasso",0.4,0.564623973626036,0.0596781265588523,0.5,0.664655697265974
"100","MNAR","CC","CoxLasso",0.6,0.547408310118625,0.0334957408665192,0.517373737373737,0.607260428539778
"101","MNAR","CC","CoxPH",0,0.663649122892926,0.0109143454323803,0.635442906318589,0.671440825026311
"102","MNAR","CC","CoxPH",0.2,0.665777592093374,0.0148466291174152,0.638018081967723,0.690662537180657
"103","MNAR","CC","CoxPH",0.4,0.649473274882855,0.0191267347699913,0.620175970250794,0.680720289445527
"104","MNAR","CC","CoxPH",0.6,0.646871366684416,0.0410835349593114,0.577815636976991,0.697879531736301
"105","MNAR","CC","SRF",0,0.740130333909016,0.00929458052152228,0.724429882142682,0.752156413339265
"106","MNAR","CC","SRF",0.2,0.742425321301312,0.0167172286519133,0.719320613264554,0.770251539881065
"107","MNAR","CC","SRF",0.4,0.730381230986912,0.0140141675353121,0.714665763788652,0.759487523392096
