"","CoxPH","CoxLasso","SRF","p","mech","n","impute_name"
"mForest18",0.624776262418605,0.570800422734307,0.708839327294337,0.2,"MAR",4,"mForest"
"CC19",0.69885763210358,0.684320630802909,0.737006826947631,0.2,"MAR",5,"CC"
"Mean19",0.659169080773158,0.582957261197903,0.718905996666696,0.2,"MAR",5,"Mean"
"MICE19",0.649366211098229,0.640821502845859,0.696176438005943,0.2,"MAR",5,"MICE"
"mForest19",0.656405786464985,0.648013868767943,0.723107263942692,0.2,"MAR",5,"mForest"
"CC20",0.662225106706926,0.681405761777996,0.723340217446745,0.5,"MAR",1,"CC"
"Mean20",0.608173043660825,0.561457874391623,0.693713675162083,0.5,"MAR",1,"Mean"
"MICE20",0.578258825529273,0.524506797505877,0.669888160461859,0.5,"MAR",1,"MICE"
"mForest20",0.614483960967722,0.5,0.699216347661711,0.5,"MAR",1,"mForest"
"CC21",0.629837021704936,0.5,0.739419071206346,0.5,"MAR",2,"CC"
"Mean21",0.59623641244115,0.5,0.698222265003166,0.5,"MAR",2,"Mean"
"MICE21",0.579862972833425,0.5,0.704751889004406,0.5,"MAR",2,"MICE"
"mForest21",0.593538060713729,0.5,0.710538272246321,0.5,"MAR",2,"mForest"
"CC22",0.742738171156355,0.706515862451234,0.7859797674763,0.5,"MAR",3,"CC"
"Mean22",0.642938363162764,0.533706375304975,0.728487081491456,0.5,"MAR",3,"Mean"
"MICE22",0.590146737923184,0.5,0.708161982028278,0.5,"MAR",3,"MICE"
"mForest22",0.59789887836264,0.523698804725983,0.725002949769693,0.5,"MAR",3,"mForest"
"CC23",0.659517914481967,0.5,0.74970994053797,0.5,"MAR",4,"CC"
"Mean23",0.58386679460999,0.515992160891984,0.695934589917193,0.5,"MAR",4,"Mean"
"MICE23",0.571876040469174,0.5,0.683284530558384,0.5,"MAR",4,"MICE"
"mForest23",0.585145818479919,0.551985378064933,0.701294994449852,0.5,"MAR",4,"mForest"
"CC24",0.67720443325473,0.567067781630294,0.721184404894903,0.5,"MAR",5,"CC"
"Mean24",0.611614556817082,0.5,0.683407791356678,0.5,"MAR",5,"Mean"
"MICE24",0.603476681316407,0.5,0.683104407934331,0.5,"MAR",5,"MICE"
"mForest24",0.619565240161052,0.528503783482661,0.69847979017648,0.5,"MAR",5,"mForest"
"CC25",0.718011587110261,0.621872299823153,0.750514095570516,0.7,"MAR",1,"CC"
"Mean25",0.56854950886554,0.5,0.700973749676927,0.7,"MAR",1,"Mean"
"MICE25",0.550032844403363,0.5,0.656077209804418,0.7,"MAR",1,"MICE"
"mForest25",0.583378721641998,0.5,0.696554666489982,0.7,"MAR",1,"mForest"
