"","mech","impute_name","model","p","Cindex","sd","min","max"
"24","MAR","Mean","CoxPH",0.8,0.700502237578334,0.00636733943174164,0.693954493487642,0.706672365298016
"25","MAR","Mean","SRF",0.2,0.814542639283239,0.00753999154358463,0.80618255731862,0.820828207428986
"26","MAR","Mean","SRF",0.5,0.762651051523204,0.00649074692588684,0.758554077145713,0.77013469246953
"27","MAR","Mean","SRF",0.8,0.700502237578334,0.00636733943174164,0.693954493487642,0.706672365298016
"28","MAR","mForest","CoxLasso",0.2,0.792333793313881,0.0118856778202826,0.778647662431223,0.800063821744645
"29","MAR","mForest","CoxLasso",0.5,0.726341497099856,0.00652449740136841,0.720446709838055,0.733351855005032
"30","MAR","mForest","CoxLasso",0.8,0.664474033249845,0.0148114552562439,0.648660603553561,0.678022626130896
"31","MAR","mForest","CoxPH",0.2,0.8119751953157,0.00780002017126061,0.803141220750852,0.817912374925689
"32","MAR","mForest","CoxPH",0.5,0.751637504000516,0.00518815154459025,0.747658687067281,0.757505530559765
"33","MAR","mForest","CoxPH",0.8,0.688964064220157,0.0109291793733799,0.678670738079272,0.700433902086028
"34","MAR","mForest","SRF",0.2,0.8119751953157,0.00780002017126061,0.803141220750852,0.817912374925689
"35","MAR","mForest","SRF",0.5,0.751637504000516,0.00518815154459025,0.747658687067281,0.757505530559765
"36","MAR","mForest","SRF",0.8,0.688964064220157,0.0109291793733799,0.678670738079272,0.700433902086028
"37","MCAR","CC","CoxLasso",0.2,0.827222117154728,0.0161758859319613,0.811242307522581,0.843587196522658
"38","MCAR","CC","CoxLasso",0.5,NA,NA,NA,NA
"39","MCAR","CC","CoxLasso",0.8,NA,NA,NA,NA
"40","MCAR","CC","CoxPH",0.2,0.839916042044903,0.0153607809437938,0.826262304215758,0.856547765556712
"41","MCAR","CC","CoxPH",0.5,NA,NA,NA,NA
"42","MCAR","CC","CoxPH",0.8,NA,NA,NA,NA
"43","MCAR","CC","SRF",0.2,0.839916042044903,0.0153607809437938,0.826262304215758,0.856547765556712
"44","MCAR","CC","SRF",0.5,NA,NA,NA,NA
"45","MCAR","CC","SRF",0.8,NA,NA,NA,NA
"46","MCAR","MICE","CoxLasso",0.2,0.796345397501339,0.00581572797449755,0.791516775368333,0.802801490117584
"47","MCAR","MICE","CoxLasso",0.5,0.71059569135031,0.0188708763947462,0.6888061199755,0.721635081264231
"48","MCAR","MICE","CoxLasso",0.8,0.651564290572251,0.00129574989051786,0.65007801120031,0.652456420191383
"49","MCAR","MICE","CoxPH",0.2,0.811092153084564,0.0052016214222289,0.80603342523608,0.816425767325098
