"","CoxPH","CoxLasso","SRF","p","mech","n","impute_name"
"Mean6",0.69659049573931,0.670827742815138,0.69659049573931,0.8,"MCAR",1,"Mean"
"MICE6",0.67730305575486,0.652158440325059,0.67730305575486,0.8,"MCAR",1,"MICE"
"mForest6",0.68376619658829,0.654835124943984,0.68376619658829,0.8,"MCAR",1,"mForest"
"CC7",NA,NA,NA,0.8,"MCAR",2,"CC"
"Mean7",0.696002549621482,0.667791310536503,0.696002549621482,0.8,"MCAR",2,"Mean"
"MICE7",0.674215258722862,0.65007801120031,0.674215258722862,0.8,"MCAR",2,"MICE"
"mForest7",0.681771610265522,0.664360513692207,0.681771610265522,0.8,"MCAR",2,"mForest"
"CC8",NA,NA,NA,0.8,"MCAR",3,"CC"
"Mean8",0.710514552372593,0.698302669155246,0.710514552372593,0.8,"MCAR",3,"Mean"
"MICE8",0.673357023282627,0.652456420191383,0.673357023282627,0.8,"MCAR",3,"MICE"
"mForest8",0.684300001783407,0.666834957239627,0.684300001783407,0.8,"MCAR",3,"mForest"
"CC9",0.844786802501696,0.831863204067619,0.844786802501696,0.2,"MAR",1,"CC"
"Mean9",0.80618255731862,0.78163152167201,0.80618255731862,0.2,"MAR",1,"Mean"
"MICE9",0.801571205012511,0.784966038877164,0.801571205012511,0.2,"MAR",1,"MICE"
"mForest9",0.803141220750852,0.778647662431223,0.803141220750852,0.2,"MAR",1,"mForest"
"CC10",0.840833493472662,0.829905373276761,0.840833493472662,0.2,"MAR",2,"CC"
"Mean10",0.820828207428986,0.801524268751773,0.820828207428986,0.2,"MAR",2,"Mean"
"MICE10",0.804737662016034,0.792782268842556,0.804737662016034,0.2,"MAR",2,"MICE"
"mForest10",0.814871990270559,0.800063821744645,0.814871990270559,0.2,"MAR",2,"mForest"
"CC11",0.850918291994119,0.841989857180289,0.850918291994119,0.2,"MAR",3,"CC"
"Mean11",0.81661715310211,0.794314711638676,0.81661715310211,0.2,"MAR",3,"Mean"
"MICE11",0.800008907527083,0.789551726358503,0.800008907527083,0.2,"MAR",3,"MICE"
"mForest11",0.817912374925689,0.798289895765776,0.817912374925689,0.2,"MAR",3,"mForest"
"CC12",0.860228004356276,0.847522537444006,0.860228004356276,0.5,"MAR",1,"CC"
"Mean12",0.77013469246953,0.747008858782619,0.77013469246953,0.5,"MAR",1,"Mean"
"MICE12",0.737813457987312,0.713857839905796,0.737813457987312,0.5,"MAR",1,"MICE"
"mForest12",0.757505530559765,0.733351855005032,0.757505530559765,0.5,"MAR",1,"mForest"
"CC13",0.833772076843719,0.822493481174852,0.833772076843719,0.5,"MAR",2,"CC"
"Mean13",0.759264384954368,0.740886006195996,0.759264384954368,0.5,"MAR",2,"Mean"
"MICE13",0.731700195049494,0.715713107536847,0.731700195049494,0.5,"MAR",2,"MICE"
"mForest13",0.749748294374502,0.72522592645648,0.749748294374502,0.5,"MAR",2,"mForest"
"CC14",0.843722291084896,0.831127794621652,0.843722291084896,0.5,"MAR",3,"CC"
"Mean14",0.758554077145713,0.735358866216912,0.758554077145713,0.5,"MAR",3,"Mean"
"MICE14",0.728990030969765,0.708011476035027,0.728990030969765,0.5,"MAR",3,"MICE"
"mForest14",0.747658687067281,0.720446709838055,0.747658687067281,0.5,"MAR",3,"mForest"
"CC15",0.875233404531201,0.852584027733166,0.875233404531201,0.8,"MAR",1,"CC"
"Mean15",0.700879853949344,0.678816055548398,0.700879853949344,0.8,"MAR",1,"Mean"
"MICE15",0.67294146024976,0.651944013771005,0.67294146024976,0.8,"MAR",1,"MICE"
"mForest15",0.700433902086028,0.678022626130896,0.700433902086028,0.8,"MAR",1,"mForest"
"CC16",0.864169952844293,0.855342052899236,0.864169952844293,0.8,"MAR",2,"CC"
"Mean16",0.706672365298016,0.692508401668715,0.706672365298016,0.8,"MAR",2,"Mean"
"MICE16",0.674256613387587,0.658888590395174,0.674256613387587,0.8,"MAR",2,"MICE"
"mForest16",0.687787552495171,0.666738870065077,0.687787552495171,0.8,"MAR",2,"mForest"
"CC17",0.810860092479261,0.816373962754728,0.810860092479261,0.8,"MAR",3,"CC"
"Mean17",0.693954493487642,0.680078469110608,0.693954493487642,0.8,"MAR",3,"Mean"
"MICE17",0.666904157463213,0.626431340973126,0.666904157463213,0.8,"MAR",3,"MICE"
"mForest17",0.678670738079272,0.648660603553561,0.678670738079272,0.8,"MAR",3,"mForest"
"CC18",0.832843656649314,0.816463905080751,0.832843656649314,0.2,"MNAR",1,"CC"
"Mean18",0.828094781827795,0.804190979120191,0.828094781827795,0.2,"MNAR",1,"Mean"
"MICE18",0.817046714257786,0.799333105377724,0.817046714257786,0.2,"MNAR",1,"MICE"
"mForest18",0.816867749285779,0.793292977941773,0.816867749285779,0.2,"MNAR",1,"mForest"
"CC19",0.831752661078466,0.816130233551005,0.831752661078466,0.2,"MNAR",2,"CC"
"Mean19",0.828494162239567,0.810114081491632,0.828494162239567,0.2,"MNAR",2,"Mean"
"MICE19",0.820936298212252,0.802933466365616,0.820936298212252,0.2,"MNAR",2,"MICE"
"mForest19",0.809049855499917,0.791873685799573,0.809049855499917,0.2,"MNAR",2,"mForest"
"CC20",0.834575878829829,0.815636891533539,0.834575878829829,0.2,"MNAR",3,"CC"
"Mean20",0.833175109029321,0.815980444268109,0.833175109029321,0.2,"MNAR",3,"Mean"
"MICE20",0.818018934119956,0.800636732986698,0.818018934119956,0.2,"MNAR",3,"MICE"
"mForest20",0.817217325930237,0.79755432987596,0.817217325930237,0.2,"MNAR",3,"mForest"
"CC21",0.748369098574323,0.734484024508947,0.748369098574323,0.5,"MNAR",1,"CC"
"Mean21",0.797489416053205,0.770077545560704,0.797489416053205,0.5,"MNAR",1,"Mean"
"MICE21",0.767346545743691,0.747613353350351,0.767346545743691,0.5,"MNAR",1,"MICE"
"mForest21",0.751733710314071,0.733615237153712,0.751733710314071,0.5,"MNAR",1,"mForest"
"CC22",0.761919776092013,0.740952468439855,0.761919776092013,0.5,"MNAR",2,"CC"
"Mean22",0.794704190823593,0.767133369949246,0.794704190823593,0.5,"MNAR",2,"Mean"
"MICE22",0.762037961580579,0.744582141751147,0.762037961580579,0.5,"MNAR",2,"MICE"
"mForest22",0.740892729581672,0.716911363584506,0.740892729581672,0.5,"MNAR",2,"mForest"
"CC23",0.753988291939567,0.742076143754655,0.753988291939567,0.5,"MNAR",3,"CC"
"Mean23",0.778624419594932,0.74508404207672,0.778624419594932,0.5,"MNAR",3,"Mean"
"MICE23",0.741095339089116,0.728781226365597,0.741095339089116,0.5,"MNAR",3,"MICE"
"mForest23",0.718388693928944,0.701034294698408,0.718388693928944,0.5,"MNAR",3,"mForest"
"CC24",NA,NA,NA,0.8,"MNAR",1,"CC"
"Mean24",0.807515307125911,0.782132155404412,0.807515307125911,0.8,"MNAR",1,"Mean"
"MICE24",0.696231470946719,0.678810133581018,0.696231470946719,0.8,"MNAR",1,"MICE"
"mForest24",0.704905353360249,0.683068655887416,0.704905353360249,0.8,"MNAR",1,"mForest"
